,port_name,Region/State,Port hub,coord_0,coord_1
74,"port of palm beach district, fl",FL,"miami-fort lauderdale, fl",26.14492877245509,-79.93771224550898
75,"port of pascagoula, ms",MS,"jackson county, ms, mobile, al",30.455800085106382,-87.89717340425531
76,"port of pensacola, fl",FL,"jackson county, ms, mobile, al",30.455800085106382,-87.89717340425531
77,"port of portland, or",OR,"portland, or",45.81600253731344,-123.1006234328358
78,"port of providence, ri",RI,"boston, ma",41.93522783018868,-70.91931396226416
79,"port of savannah, ga",GA,"savannah, ga",32.04481505882353,-80.82024464705883
80,"port of seattle, wa",WA,"seattle/tacoma, wa",47.449354639175255,-122.42877860824744
81,"port of south louisiana, la",LA,"new orleans, lo",29.635235045806905,-90.30409463002114
82,"port of vancouver usa, wa",WA,"portland, or",45.81600253731344,-123.1006234328358
83,"port of virginia, va",VA,"norfolk, va",36.971158,-76.191172
84,"portland, me",ME,"boston, ma",41.93522783018868,-70.91931396226416
85,"portmiami, fl",FL,"miami-fort lauderdale, fl",26.14492877245509,-79.93771224550898
86,"richmond, va",VA,"norfolk, va",36.971158,-76.191172
87,"rochester, ny",NY,"erie/buffalo, ny, hamilton/toronto, canada",43.279341,-79.577205
88,"rogers city, mi",MI,Michigan-canada,46.026427,-84.311425
89,"san diego unified port district, ca",CA,"san diego, ca",32.1247252,-116.84287293333334
90,"san francisco port commission, ca",CA,"san francisco bay area, ca",37.90095694063927,-122.20986401826484
91,"san juan, pr",PR,"san juan, puerto rico",18.307611,-65.421345
92,"sault ste marie, mi",MI,Michigan-canada,46.026427,-84.311425
93,"seward, ak",AK,,,
94,"shishmaref, ak",AK,,,
95,"skagway, ak",AK,,,
96,"south jersey port corporation, nj",NJ,"baltimore, md, filadelfia, pa",39.16201698275862,-76.08407508620691
97,"stockton port district, ca",CA,"san francisco bay area, ca",37.90095694063927,-122.20986401826484
98,"tacoma, wa",WA,"seattle/tacoma, wa",47.449354639175255,-122.42877860824744
99,"tampa port authority, fl",FL,"tampa, fl",27.84197524691358,-82.33899320987655
100,"texas city, tx",TX,"houston/galveston, tx",29.602093408239703,-94.66715344569288
101,"unalaska island, ak",AK,,,
102,"utqiagvik (barrow), ak",AK,,,
103,"valdez, ak",AK,,,
104,"wainwright, ak",AK,,,
105,"whittier, ak",AK,,,
106,"wilmington, de",DE,"baltimore, md, filadelfia, pa",39.16201698275862,-76.08407508620691
107,"wilmington, nc",NC,"wilmington, nc",34.444470985915494,-77.20615211267605
108,"wrangell, ak",AK,,,
109,"yakutat, ak",AK,,,
