FY,Month (abbv),Component,Region,Land Filter,Branch,Drug Type,Count of Event,Sum Qty (lbs)
2025 (FYTD),NOV,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Cocaine,3,5.6
2025 (FYTD),NOV,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,3,34.980000000000004
2025 (FYTD),OCT,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Cocaine,3,589.48
2025 (FYTD),OCT,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Cocaine,2,1904.04
2025 (FYTD),OCT,Air and Marine Operations,Coastal/Interior,Other,Ground Tactical Air Controller,Fentanyl,8,12.96
2025 (FYTD),OCT,Air and Marine Operations,Coastal/Interior,Other,Ground Tactical Air Controller,Marijuana,1,6.99
2025 (FYTD),OCT,Air and Marine Operations,Coastal/Interior,Other,Ground Tactical Air Controller,Methamphetamine,2,27.01
2025 (FYTD),OCT,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Cocaine,1,4115.99
2025 (FYTD),OCT,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Marijuana,1,927.7
2025 (FYTD),OCT,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Cocaine,4,235.9
2025 (FYTD),OCT,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,3,6138.72
2025 (FYTD),OCT,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Cocaine,1,0.93
2025 (FYTD),OCT,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Fentanyl,4,86.65
2025 (FYTD),OCT,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Marijuana,1,1.92
2025 (FYTD),OCT,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Methamphetamine,3,0.73
2025 (FYTD),OCT,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Cocaine,1,0.23
2025 (FYTD),OCT,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,1,0.25
2025 (FYTD),OCT,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Marijuana,2,1.18
2025 (FYTD),OCT,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Cocaine,1,0.06
2025 (FYTD),OCT,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,5,0.22
2025 (FYTD),OCT,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Fentanyl,1,2.58
2025 (FYTD),OCT,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Heroin,1,0.0
2025 (FYTD),OCT,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Marijuana,1,0.35
2025 (FYTD),OCT,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Cocaine,4,63.82
2025 (FYTD),OCT,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Heroin,1,0.0
2025 (FYTD),OCT,Air and Marine Operations,Southwest Border,Land,El Paso Air Branch,Cocaine,1,17.64
2025 (FYTD),OCT,Air and Marine Operations,Southwest Border,Land,El Paso Air Branch,Fentanyl,1,30.87
2025 (FYTD),OCT,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Cocaine,1,0.0
2025 (FYTD),OCT,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Marijuana,1,0.0
2025 (FYTD),OCT,Air and Marine Operations,Southwest Border,Land,NASOC - Sierra Vista,Cocaine,1,1.37
2025 (FYTD),OCT,Air and Marine Operations,Southwest Border,Land,NASOC - Sierra Vista,Fentanyl,2,2.23
2025 (FYTD),OCT,Air and Marine Operations,Southwest Border,Land,NASOC - Sierra Vista,Heroin,1,0.0
2025 (FYTD),OCT,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,1,1.11
2025 (FYTD),OCT,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Cocaine,3,1.01
2024,APR,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Cocaine,1,485.23
2024,APR,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Marijuana,1,0.17
2024,APR,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Cocaine,6,2.66
2024,APR,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Fentanyl,1,0.05
2024,APR,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Methamphetamine,1,0.99
2024,APR,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Cocaine,1,921.52
2024,APR,Air and Marine Operations,Coastal/Interior,Other,NASOC - Houston,Marijuana,1,1790.14
2024,APR,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,4,12783.74
2024,APR,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Cocaine,2,3.39
2024,APR,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Fentanyl,1,0.01
2024,APR,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Marijuana,11,89.71000000000001
2024,APR,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Methamphetamine,1,0.07
2024,APR,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Cocaine,4,4.76
2024,APR,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,8,22.47
2024,APR,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Heroin,2,0.02
2024,APR,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,6,9.48
2024,APR,Air and Marine Operations,Northern Border,Land,NASOC - Grand Forks,Cocaine,6,0.16
2024,APR,Air and Marine Operations,Northern Border,Land,NASOC - Grand Forks,Methamphetamine,1,0.04
2024,APR,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,2,2.29
2024,APR,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Heroin,2,2.58
2024,APR,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Methamphetamine,2,0.06
2024,APR,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Cocaine,4,1.26
2024,APR,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Fentanyl,1,1.19
2024,APR,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Cocaine,2,0.0
2024,APR,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Fentanyl,2,0.55
2024,APR,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Cocaine,4,26.98
2024,APR,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Cocaine,3,323.86
2024,APR,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Marijuana,1,148.81
2024,APR,Air and Marine Operations,Southwest Border,Land,NASOC - Sierra Vista,Marijuana,1,0.22
2024,APR,Air and Marine Operations,Southwest Border,Land,NASOC - Sierra Vista,Methamphetamine,1,0.57
2024,APR,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Cocaine,1,2.6
2024,APR,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,6,110.33
2024,APR,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Methamphetamine,3,60.41
2024,APR,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Methamphetamine,1,0.38
2024,APR,Air and Marine Operations,Southwest Border,Other,NASOC - San Angelo,Cocaine,2,7153.929999999999
2024,APR,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Fentanyl,1,0.23
2024,AUG,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Cocaine,1,166.45
2024,AUG,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Cocaine,1,2.31
2024,AUG,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Cocaine,4,67.14999999999999
2024,AUG,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Marijuana,1,0.0
2024,AUG,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,3,2987.24
2024,AUG,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Marijuana,1,141.09
2024,AUG,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Cocaine,4,6.72
2024,AUG,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Fentanyl,2,0.28
2024,AUG,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Heroin,1,0.0
2024,AUG,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Marijuana,1,0.13
2024,AUG,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Methamphetamine,1,1.0
2024,AUG,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Cocaine,1,0.0
2024,AUG,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,8,3.65
2024,AUG,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Heroin,1,0.03
2024,AUG,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Marijuana,4,10076.34
2024,AUG,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,9,72.35000000000001
2024,AUG,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Cocaine,3,4.54
2024,AUG,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Fentanyl,1,4.41
2024,AUG,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,3,0.35
2024,AUG,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Fentanyl,1,0.18
2024,AUG,Air and Marine Operations,Southwest Border,Land,El Paso Air Branch,Methamphetamine,1,44.09
2024,AUG,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Cocaine,5,13.19
2024,AUG,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Fentanyl,2,3.86
2024,AUG,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Methamphetamine,5,187.64
2024,AUG,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Cocaine,2,56.21
2024,AUG,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Cocaine,1,0.12
2024,AUG,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Methamphetamine,1,0.25
2024,AUG,Air and Marine Operations,Southwest Border,Land,NASOC - Sierra Vista,Fentanyl,1,0.01
2024,AUG,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,4,10.76
2024,AUG,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Methamphetamine,1,0.99
2024,AUG,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Fentanyl,1,0.95
2024,AUG,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Methamphetamine,3,59.17
2024,DEC,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Marijuana,1,1.25
2024,DEC,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Methamphetamine,1,5.11
2024,DEC,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,2,11.02
2024,DEC,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Marijuana,1,5.07
2024,DEC,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Cocaine,1,0.0
2024,DEC,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Fentanyl,3,0.04
2024,DEC,Air and Marine Operations,Northern Border,Land,NASOC - Grand Forks,Marijuana,3,0.39
2024,DEC,Air and Marine Operations,Northern Border,Other,Bellingham Air Branch,Cocaine,1,2793.23
2024,DEC,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Cocaine,1,0.35
2024,DEC,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Methamphetamine,1,2.01
2024,DEC,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Cocaine,1,0.07
2024,DEC,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Methamphetamine,1,0.0
2024,DEC,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Cocaine,1,0.24
2024,DEC,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Methamphetamine,1,34.79
2024,DEC,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Methamphetamine,1,3.97
2024,DEC,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Cocaine,1,2.2
2024,DEC,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Methamphetamine,2,170.86
2024,FEB,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Cocaine,1,1521.17
2024,FEB,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Fentanyl,1,46.85
2024,FEB,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Methamphetamine,1,19.84
2024,FEB,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Cocaine,1,384.37
2024,FEB,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Cocaine,2,1147.59
2024,FEB,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Fentanyl,1,0.02
2024,FEB,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Marijuana,1,0.04
2024,FEB,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Methamphetamine,6,13.03
2024,FEB,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Cocaine,2,2092.17
2024,FEB,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Marijuana,1,1834.23
2024,FEB,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,2,9411.44
2024,FEB,Air and Marine Operations,Coastal/Interior,Other,National Air Training Center Oklahoma City,Cocaine,1,0.1
2024,FEB,Air and Marine Operations,Coastal/Interior,Other,National Air Training Center Oklahoma City,Fentanyl,3,0.3399999999999999
2024,FEB,Air and Marine Operations,Coastal/Interior,Other,National Air Training Center Oklahoma City,Methamphetamine,2,0.73
2024,FEB,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Cocaine,1,0.0
2024,FEB,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Marijuana,1,0.13
2024,FEB,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Methamphetamine,1,2.27
2024,FEB,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Cocaine,3,0.62
2024,FEB,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,11,28.21
2024,FEB,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Heroin,3,3.79
2024,FEB,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,5,166.52
2024,FEB,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Fentanyl,2,1.44
2024,FEB,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marijuana,1,0.0
2024,FEB,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,5,46.84
2024,FEB,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Fentanyl,4,14.25
2024,FEB,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Marijuana,2,1.1
2024,FEB,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Cocaine,1,1.09
2024,FEB,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Fentanyl,1,0.09
2024,FEB,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Marijuana,1,110.23
2024,FEB,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Methamphetamine,1,5.95
2024,FEB,Air and Marine Operations,Southwest Border,Land,El Paso Air Branch,Cocaine,1,0.19
2024,FEB,Air and Marine Operations,Southwest Border,Land,El Paso Air Branch,Fentanyl,1,6.61
2024,FEB,Air and Marine Operations,Southwest Border,Land,El Paso Air Branch,Methamphetamine,1,0.01
2024,FEB,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Cocaine,1,11.02
2024,FEB,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Cocaine,2,23.25
2024,FEB,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Cocaine,4,193.53
2024,FEB,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Marijuana,3,0.23
2024,FEB,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Methamphetamine,5,0.16
2024,FEB,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Methamphetamine,5,25.18
2024,FEB,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Cocaine,1,25.37
2024,FEB,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,2,4.74
2024,FEB,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Marijuana,5,10.99
2024,FEB,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Methamphetamine,2,6.5600000000000005
2024,FEB,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Cocaine,1,0.79
2024,FEB,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Marijuana,1,1.76
2024,FEB,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Methamphetamine,1,5.73
2024,FEB,Air and Marine Operations,Southwest Border,Other,NASOC - San Angelo,Cocaine,1,479.94
2024,JAN,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Cocaine,1,629.85
2024,JAN,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Fentanyl,1,0.0
2024,JAN,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Methamphetamine,1,0.0
2024,JAN,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,4,5866.43
2024,JAN,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Marijuana,1,7341.32
2024,JAN,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Cocaine,3,1931.76
2024,JAN,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Fentanyl,1,0.25
2024,JAN,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Marijuana,1,7.5
2024,JAN,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Methamphetamine,1,1.1
2024,JAN,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Cocaine,1,1.01
2024,JAN,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,2,519.15
2024,JAN,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Heroin,1,3071.01
2024,JAN,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Marijuana,1,1.06
2024,JAN,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,1,77.98
2024,JAN,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Fentanyl,1,1.42
2024,JAN,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Heroin,1,0.0
2024,JAN,Air and Marine Operations,Northern Border,Land,NASOC - Grand Forks,Cocaine,1,0.0
2024,JAN,Air and Marine Operations,Northern Border,Land,NASOC - Grand Forks,Methamphetamine,1,2.0
2024,JAN,Air and Marine Operations,Northern Border,Other,Bellingham Air Branch,Cocaine,1,2623.47
2024,JAN,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,5,25.49
2024,JAN,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Fentanyl,1,0.03
2024,JAN,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Heroin,1,0.0
2024,JAN,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Cocaine,2,0.32
2024,JAN,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Fentanyl,1,0.24
2024,JAN,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Methamphetamine,1,45.41
2024,JAN,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Cocaine,3,8.34
2024,JAN,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Marijuana,1,0.59
2024,JAN,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Methamphetamine,1,1.1
2024,JAN,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Cocaine,1,0.01
2024,JAN,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,4,21.78
2024,JAN,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Methamphetamine,2,4.2
2024,JAN,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Cocaine,3,6.08
2024,JAN,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Fentanyl,1,0.0
2024,JAN,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Marijuana,4,7.54
2024,JAN,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Methamphetamine,1,1.01
2024,JUL,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Cocaine,1,510.81
2024,JUL,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Cocaine,1,54.23
2024,JUL,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Cocaine,2,6347.12
2024,JUL,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Fentanyl,7,4.1
2024,JUL,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Methamphetamine,1,0.04
2024,JUL,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Cocaine,1,2445.35
2024,JUL,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,4,3919.83
2024,JUL,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Marijuana,1,2603.63
2024,JUL,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Marijuana,1,0.02
2024,JUL,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Cocaine,1,0.01
2024,JUL,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,5,7.14
2024,JUL,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,5,53.83
2024,JUL,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Cocaine,3,0.07
2024,JUL,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Methamphetamine,4,1.18
2024,JUL,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,2,0.03
2024,JUL,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Marijuana,5,5.87
2024,JUL,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Fentanyl,1,0.21
2024,JUL,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Methamphetamine,1,1.09
2024,JUL,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Cocaine,1,0.49
2024,JUL,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Fentanyl,3,14.08
2024,JUL,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Methamphetamine,2,4.98
2024,JUL,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Cocaine,1,9.1
2024,JUL,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Methamphetamine,1,1.0
2024,JUL,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,2,4.37
2024,JUL,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Methamphetamine,1,37.48
2024,JUL,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Cocaine,4,904.51
2024,JUL,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Fentanyl,1,0.33
2024,JUL,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Methamphetamine,2,73.23
2024,JUN,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Cocaine,2,4.4
2024,JUN,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Cocaine,1,2028.23
2024,JUN,Air and Marine Operations,Coastal/Interior,Other,NASOC - Houston,Cocaine,1,3418.01
2024,JUN,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,1,176.37
2024,JUN,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Marijuana,1,1100.1
2024,JUN,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Methamphetamine,2,1.51
2024,JUN,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Cocaine,3,0.43
2024,JUN,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,8,25.250000000000004
2024,JUN,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Heroin,1,12.35
2024,JUN,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,13,94.08
2024,JUN,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Cocaine,5,9.3
