,Area of Responsibility,Year,Drug Type,Count of Event,Sum Qty (kg),Sum Qty (lbs),FY,Month (abbv),Component,Region,Land Filter,Month,Date
93,"Border Force 4, 5, 6, 7",2019,Unnamed: 24,..,,,,,,,,,
94,TOTAL ENGLAND AND WALES 2,2019,Unnamed: 24,11489,,,,,,,,,
95,Cleveland,2020,Unnamed: 24,,,,,,,,,,
96,Durham,2020,Unnamed: 24,,,,,,,,,,
97,Northumbria,2020,Unnamed: 24,,,,,,,,,,
98,Cheshire,2020,Unnamed: 24,,,,,,,,,,
99,Cumbria,2020,Unnamed: 24,,,,,,,,,,
100,Greater Manchester1,2020,Unnamed: 24,,,,,,,,,,
101,Lancashire,2020,Unnamed: 24,,,,,,,,,,
102,Merseyside,2020,Unnamed: 24,,,,,,,,,,
103,Humberside,2020,Unnamed: 24,,,,,,,,,,
104,North Yorkshire,2020,Unnamed: 24,,,,,,,,,,
105,South Yorkshire,2020,Unnamed: 24,,,,,,,,,,
106,West Yorkshire,2020,Unnamed: 24,,,,,,,,,,
107,Derbyshire,2020,Unnamed: 24,,,,,,,,,,
108,Leicestershire,2020,Unnamed: 24,,,,,,,,,,
109,Lincolnshire1,2020,Unnamed: 24,,,,,,,,,,
110,Northamptonshire,2020,Unnamed: 24,,,,,,,,,,
111,Nottinghamshire,2020,Unnamed: 24,,,,,,,,,,
112,Staffordshire,2020,Unnamed: 24,,,,,,,,,,
113,Warwickshire,2020,Unnamed: 24,,,,,,,,,,
114,West Mercia,2020,Unnamed: 24,,,,,,,,,,
115,West Midlands,2020,Unnamed: 24,,,,,,,,,,
116,Bedfordshire,2020,Unnamed: 24,,,,,,,,,,
117,Cambridgeshire,2020,Unnamed: 24,,,,,,,,,,
118,Essex,2020,Unnamed: 24,,,,,,,,,,
119,Hertfordshire1,2020,Unnamed: 24,,,,,,,,,,
120,Norfolk,2020,Unnamed: 24,,,,,,,,,,
121,Suffolk,2020,Unnamed: 24,,,,,,,,,,
122,"London, City of",2020,Unnamed: 24,,,,,,,,,,
123,Metropolitan Police,2020,Unnamed: 24,,,,,,,,,,
124,Hampshire,2020,Unnamed: 24,,,,,,,,,,
125,Kent1,2020,Unnamed: 24,,,,,,,,,,
126,Surrey,2020,Unnamed: 24,,,,,,,,,,
127,Sussex1,2020,Unnamed: 24,,,,,,,,,,
128,Thames Valley,2020,Unnamed: 24,,,,,,,,,,
129,Avon & Somerset,2020,Unnamed: 24,,,,,,,,,,
130,Devon & Cornwall,2020,Unnamed: 24,,,,,,,,,,
131,Dorset,2020,Unnamed: 24,,,,,,,,,,
132,Gloucestershire,2020,Unnamed: 24,,,,,,,,,,
133,Wiltshire,2020,Unnamed: 24,,,,,,,,,,
134,Dyfed-Powys,2020,Unnamed: 24,,,,,,,,,,
135,Gwent,2020,Unnamed: 24,,,,,,,,,,
136,North Wales,2020,Unnamed: 24,,,,,,,,,,
137,South Wales,2020,Unnamed: 24,,,,,,,,,,
138,British Transport Police,2020,Unnamed: 24,,,,,,,,,,
139,Total police,2020,Unnamed: 24,,,,,,,,,,
140,"Border Force4,5,6,7",2020,Unnamed: 24,,,,,,,,,,
141,TOTAL ENGLAND AND WALES2,2020,Unnamed: 24,,,,,,,,,,
142,,2020,Unnamed: 24,,,,,,,,,,
143,Cleveland,2021,Unnamed: 24,,,,,,,,,,
144,Durham,2021,Unnamed: 24,,,,,,,,,,
145,Northumbria,2021,Unnamed: 24,,,,,,,,,,
146,Cheshire,2021,Unnamed: 24,,,,,,,,,,
147,Cumbria,2021,Unnamed: 24,,,,,,,,,,
148,Greater Manchester7,2021,Unnamed: 24,,,,,,,,,,
149,Lancashire,2021,Unnamed: 24,,,,,,,,,,
150,Merseyside,2021,Unnamed: 24,,,,,,,,,,
151,Humberside,2021,Unnamed: 24,,,,,,,,,,
152,North Yorkshire,2021,Unnamed: 24,,,,,,,,,,
153,South Yorkshire,2021,Unnamed: 24,,,,,,,,,,
154,West Yorkshire,2021,Unnamed: 24,,,,,,,,,,
155,Derbyshire,2021,Unnamed: 24,,,,,,,,,,
156,Leicestershire10,2021,Unnamed: 24,,,,,,,,,,
157,Lincolnshire7,2021,Unnamed: 24,,,,,,,,,,
158,Northamptonshire,2021,Unnamed: 24,,,,,,,,,,
159,Nottinghamshire,2021,Unnamed: 24,,,,,,,,,,
160,Staffordshire8,2021,Unnamed: 24,,,,,,,,,,
161,Warwickshire,2021,Unnamed: 24,,,,,,,,,,
162,West Mercia,2021,Unnamed: 24,,,,,,,,,,
163,West Midlands,2021,Unnamed: 24,,,,,,,,,,
164,Bedfordshire,2021,Unnamed: 24,,,,,,,,,,
165,Cambridgeshire,2021,Unnamed: 24,,,,,,,,,,
166,Essex,2021,Unnamed: 24,,,,,,,,,,
167,"Hertfordshire7,8",2021,Unnamed: 24,,,,,,,,,,
168,Norfolk9,2021,Unnamed: 24,,,,,,,,,,
169,Suffolk9,2021,Unnamed: 24,,,,,,,,,,
170,"London, City of",2021,Unnamed: 24,,,,,,,,,,
171,Metropolitan Police10,2021,Unnamed: 24,,,,,,,,,,
172,Hampshire,2021,Unnamed: 24,,,,,,,,,,
173,"Kent7,8",2021,Unnamed: 24,,,,,,,,,,
174,Surrey,2021,Unnamed: 24,,,,,,,,,,
175,"Sussex7,9",2021,Unnamed: 24,,,,,,,,,,
176,Thames Valley,2021,Unnamed: 24,,,,,,,,,,
177,Avon & Somerset,2021,Unnamed: 24,,,,,,,,,,
178,Devon & Cornwall,2021,Unnamed: 24,,,,,,,,,,
179,Dorset,2021,Unnamed: 24,,,,,,,,,,
180,Gloucestershire,2021,Unnamed: 24,,,,,,,,,,
181,Wiltshire,2021,Unnamed: 24,,,,,,,,,,
182,Dyfed-Powys,2021,Unnamed: 24,,,,,,,,,,
183,Gwent,2021,Unnamed: 24,,,,,,,,,,
184,North Wales,2021,Unnamed: 24,,,,,,,,,,
185,South Wales10,2021,Unnamed: 24,,,,,,,,,,
186,British Transport Police,2021,Unnamed: 24,,,,,,,,,,
187,Total police,2021,Unnamed: 24,,,,,,,,,,
188,Border Force3-6,2021,Unnamed: 24,,,,,,,,,,
189,TOTAL ENGLAND AND WALES,2021,Unnamed: 24,,,,,,,,,,
190,"8. In the year ending March 2021, Hertfordshire and Kent were unable to supply any drug seizures data.  Staffordshire's drug seizure data was incomplete, and hence although they supplied some data, we had to exclude it from the 2020/21 figures.  Imputation methods have been used to estimate the drug seizures figures for that year, for these police forces. ",2021,Unnamed: 24,,,,,,,,,,
191,,2021,Unnamed: 24,,,,,,,,,,
192,Cleveland,2022,Unnamed: 24,680.0,,,,,,,,,
193,Durham,2022,Unnamed: 24,563.0,,,,,,,,,
194,Northumbria,2022,Unnamed: 24,660.0,,,,,,,,,
195,Cheshire,2022,Unnamed: 24,297.0,,,,,,,,,
196,Cumbria,2022,Unnamed: 24,6.0,,,,,,,,,
197,Greater Manchester,2022,Unnamed: 24,1296.0,,,,,,,,,
198,Lancashire,2022,Unnamed: 24,,,,,,,,,,
199,Merseyside,2022,Unnamed: 24,,,,,,,,,,
200,Humberside,2022,Unnamed: 24,168.0,,,,,,,,,
201,North Yorkshire,2022,Unnamed: 24,1022.0,,,,,,,,,
202,South Yorkshire,2022,Unnamed: 24,834.0,,,,,,,,,
203,West Yorkshire,2022,Unnamed: 24,639.0,,,,,,,,,
204,Derbyshire,2022,Unnamed: 24,100.0,,,,,,,,,
205,Leicestershire,2022,Unnamed: 24,304.0,,,,,,,,,
206,Lincolnshire,2022,Unnamed: 24,139.0,,,,,,,,,
207,Northamptonshire,2022,Unnamed: 24,365.0,,,,,,,,,
208,Nottinghamshire,2022,Unnamed: 24,409.0,,,,,,,,,
209,Staffordshire,2022,Unnamed: 24,299.0,,,,,,,,,
210,Warwickshire,2022,Unnamed: 24,72.0,,,,,,,,,
211,West Mercia,2022,Unnamed: 24,948.0,,,,,,,,,
212,West Midlands,2022,Unnamed: 24,1058.0,,,,,,,,,
213,Bedfordshire,2022,Unnamed: 24,2.0,,,,,,,,,
214,Cambridgeshire,2022,Unnamed: 24,5.0,,,,,,,,,
215,Essex,2022,Unnamed: 24,21.0,,,,,,,,,
216,Hertfordshire,2022,Unnamed: 24,514.0,,,,,,,,,
217,Norfolk,2022,Unnamed: 24,1666.0,,,,,,,,,
218,Suffolk,2022,Unnamed: 24,1144.0,,,,,,,,,
219,"London, City of",2022,Unnamed: 24,18.0,,,,,,,,,
220,Metropolitan Police,2022,Unnamed: 24,392.0,,,,,,,,,
221,Hampshire,2022,Unnamed: 24,,,,,,,,,,
222,Kent,2022,Unnamed: 24,1178.0,,,,,,,,,
223,Surrey,2022,Unnamed: 24,,,,,,,,,,
224,Sussex,2022,Unnamed: 24,911.0,,,,,,,,,
225,Thames Valley,2022,Unnamed: 24,,,,,,,,,,
226,Avon & Somerset,2022,Unnamed: 24,1000.0,,,,,,,,,
227,Devon & Cornwall,2022,Unnamed: 24,106.0,,,,,,,,,
228,Dorset,2022,Unnamed: 24,244.0,,,,,,,,,
229,Gloucestershire,2022,Unnamed: 24,,,,,,,,,,
230,Wiltshire,2022,Unnamed: 24,284.0,,,,,,,,,
231,Dyfed-Powys,2022,Unnamed: 24,1.0,,,,,,,,,
232,Gwent,2022,Unnamed: 24,33.0,,,,,,,,,
233,North Wales,2022,Unnamed: 24,25.0,,,,,,,,,
234,South Wales,2022,Unnamed: 24,1.0,,,,,,,,,
235,British Transport Police,2022,Unnamed: 24,465.0,,,,,,,,,
236,Police Total,2022,Unnamed: 24,17870.0,,,,,,,,,
237,"Border Force [notes 7, 8]",2022,Unnamed: 24,,,,,,,,,,
238,TOTAL ENGLAND AND WALES,2022,Unnamed: 24,17870.0,,,,,,,,,
239,Cleveland,2023,Unnamed: 24,121,,,,,,,,,
240,Durham,2023,Unnamed: 24,387,,,,,,,,,
241,Northumbria,2023,Unnamed: 24,651,,,,,,,,,
242,Cheshire,2023,Unnamed: 24,45,,,,,,,,,
243,Cumbria,2023,Unnamed: 24,3,,,,,,,,,
244,Greater Manchester,2023,Unnamed: 24,1646,,,,,,,,,
245,Lancashire,2023,Unnamed: 24,0,,,,,,,,,
246,Merseyside,2023,Unnamed: 24,0,,,,,,,,,
247,Humberside,2023,Unnamed: 24,109,,,,,,,,,
248,North Yorkshire,2023,Unnamed: 24,643,,,,,,,,,
249,South Yorkshire,2023,Unnamed: 24,1022,,,,,,,,,
250,West Yorkshire,2023,Unnamed: 24,1416,,,,,,,,,
251,Derbyshire,2023,Unnamed: 24,59,,,,,,,,,
252,Leicestershire,2023,Unnamed: 24,233,,,,,,,,,
253,Lincolnshire,2023,Unnamed: 24,303,,,,,,,,,
254,Northamptonshire,2023,Unnamed: 24,200,,,,,,,,,
255,Nottinghamshire,2023,Unnamed: 24,413,,,,,,,,,
256,Staffordshire,2023,Unnamed: 24,550,,,,,,,,,
257,Warwickshire,2023,Unnamed: 24,7,,,,,,,,,
258,West Mercia,2023,Unnamed: 24,559,,,,,,,,,
259,West Midlands,2023,Unnamed: 24,19,,,,,,,,,
260,Bedfordshire,2023,Unnamed: 24,1591,,,,,,,,,
261,Cambridgeshire,2023,Unnamed: 24,3,,,,,,,,,
262,Essex,2023,Unnamed: 24,25,,,,,,,,,
263,Hertfordshire,2023,Unnamed: 24,1077,,,,,,,,,
264,Norfolk,2023,Unnamed: 24,1566,,,,,,,,,
265,Suffolk,2023,Unnamed: 24,1172,,,,,,,,,
266,"London, City of",2023,Unnamed: 24,23,,,,,,,,,
267,Metropolitan Police,2023,Unnamed: 24,315,,,,,,,,,
268,Hampshire,2023,Unnamed: 24,420,,,,,,,,,
269,Kent,2023,Unnamed: 24,1283,,,,,,,,,
270,Surrey,2023,Unnamed: 24,1,,,,,,,,,
271,Sussex,2023,Unnamed: 24,941,,,,,,,,,
272,Thames Valley,2023,Unnamed: 24,0,,,,,,,,,
273,Avon & Somerset,2023,Unnamed: 24,1276,,,,,,,,,
274,Devon & Cornwall,2023,Unnamed: 24,139,,,,,,,,,
275,Dorset,2023,Unnamed: 24,79,,,,,,,,,
276,Gloucestershire,2023,Unnamed: 24,0,,,,,,,,,
277,Wiltshire,2023,Unnamed: 24,121,,,,,,,,,
278,Dyfed-Powys,2023,Unnamed: 24,0,,,,,,,,,
279,Gwent,2023,Unnamed: 24,34,,,,,,,,,
280,North Wales,2023,Unnamed: 24,6,,,,,,,,,
281,South Wales,2023,Unnamed: 24,67,,,,,,,,,
282,British Transport Police,2023,Unnamed: 24,118,,,,,,,,,
283,Police Total,2023,Unnamed: 24,18643,,,,,,,,,
284,"Border Force [note 5, 9]",2023,Unnamed: 24,0,,,,,,,,,
285,TOTAL ENGLAND AND WALES,2023,Unnamed: 24,18643,,,,,,,,,
286,Cleveland,2024,Unnamed: 24,,,,,,,,,,
287,Durham,2024,Unnamed: 24,,,,,,,,,,
288,Northumbria,2024,Unnamed: 24,,,,,,,,,,
289,Cheshire,2024,Unnamed: 24,,,,,,,,,,
290,Cumbria,2024,Unnamed: 24,,,,,,,,,,
291,Greater Manchester,2024,Unnamed: 24,,,,,,,,,,
292,Lancashire,2024,Unnamed: 24,,,,,,,,,,
293,Merseyside,2024,Unnamed: 24,,,,,,,,,,
294,Humberside,2024,Unnamed: 24,,,,,,,,,,
295,North Yorkshire,2024,Unnamed: 24,,,,,,,,,,
296,South Yorkshire,2024,Unnamed: 24,,,,,,,,,,
297,West Yorkshire,2024,Unnamed: 24,,,,,,,,,,
298,Derbyshire,2024,Unnamed: 24,,,,,,,,,,
299,Leicestershire,2024,Unnamed: 24,,,,,,,,,,
300,Lincolnshire,2024,Unnamed: 24,,,,,,,,,,
301,Northamptonshire,2024,Unnamed: 24,,,,,,,,,,
302,Nottinghamshire,2024,Unnamed: 24,,,,,,,,,,
303,Staffordshire,2024,Unnamed: 24,,,,,,,,,,
304,Warwickshire,2024,Unnamed: 24,,,,,,,,,,
305,West Mercia,2024,Unnamed: 24,,,,,,,,,,
306,West Midlands,2024,Unnamed: 24,,,,,,,,,,
307,Bedfordshire,2024,Unnamed: 24,,,,,,,,,,
308,Cambridgeshire,2024,Unnamed: 24,,,,,,,,,,
309,Essex,2024,Unnamed: 24,,,,,,,,,,
310,Hertfordshire,2024,Unnamed: 24,,,,,,,,,,
311,Norfolk,2024,Unnamed: 24,,,,,,,,,,
312,Suffolk,2024,Unnamed: 24,,,,,,,,,,
313,"London, City of",2024,Unnamed: 24,,,,,,,,,,
314,Metropolitan Police,2024,Unnamed: 24,,,,,,,,,,
315,Hampshire,2024,Unnamed: 24,,,,,,,,,,
316,Kent ,2024,Unnamed: 24,,,,,,,,,,
317,Surrey,2024,Unnamed: 24,,,,,,,,,,
318,Sussex,2024,Unnamed: 24,,,,,,,,,,
319,Thames Valley,2024,Unnamed: 24,,,,,,,,,,
320,Avon & Somerset,2024,Unnamed: 24,,,,,,,,,,
321,Devon & Cornwall,2024,Unnamed: 24,,,,,,,,,,
322,Dorset,2024,Unnamed: 24,,,,,,,,,,
323,Gloucestershire,2024,Unnamed: 24,,,,,,,,,,
324,Wiltshire,2024,Unnamed: 24,,,,,,,,,,
325,Dyfed-Powys,2024,Unnamed: 24,,,,,,,,,,
326,Gwent,2024,Unnamed: 24,,,,,,,,,,
327,North Wales,2024,Unnamed: 24,,,,,,,,,,
328,South Wales,2024,Unnamed: 24,,,,,,,,,,
329,British Transport Police,2024,Unnamed: 24,,,,,,,,,,
330,Police Total,2024,Unnamed: 24,,,,,,,,,,
331,"Border Force [note 5, 10]",2024,Unnamed: 24,,,,,,,,,,
332,TOTAL ENGLAND AND WALES,2024,Unnamed: 24,,,,,,,,,,
333,Cleveland,2018,Class A,,,,,,,,,,
334,Durham,2018,Class A,,,,,,,,,,
335,Northumbria,2018,Class A,,,,,,,,,,
336,Cheshire,2018,Class A,,,,,,,,,,
337,Cumbria,2018,Class A,,,,,,,,,,
338,Greater Manchester,2018,Class A,,,,,,,,,,
339,Lancashire,2018,Class A,,,,,,,,,,
340,Merseyside,2018,Class A,,,,,,,,,,
341,Humberside,2018,Class A,,,,,,,,,,
342,North Yorkshire,2018,Class A,,,,,,,,,,
343,South Yorkshire,2018,Class A,,,,,,,,,,
344,West Yorkshire,2018,Class A,,,,,,,,,,
345,Derbyshire,2018,Class A,,,,,,,,,,
346,Leicestershire,2018,Class A,,,,,,,,,,
347,Lincolnshire 1,2018,Class A,,,,,,,,,,
348,Northamptonshire,2018,Class A,,,,,,,,,,
349,Nottinghamshire,2018,Class A,,,,,,,,,,
350,Staffordshire,2018,Class A,,,,,,,,,,
351,Warwickshire,2018,Class A,,,,,,,,,,
352,West Mercia,2018,Class A,,,,,,,,,,
353,West Midlands,2018,Class A,,,,,,,,,,
354,Bedfordshire,2018,Class A,,,,,,,,,,
355,Cambridgeshire,2018,Class A,,,,,,,,,,
356,Essex,2018,Class A,,,,,,,,,,
357,Hertfordshire 1,2018,Class A,,,,,,,,,,
358,Norfolk,2018,Class A,,,,,,,,,,
359,Suffolk,2018,Class A,,,,,,,,,,
360,"London, City of",2018,Class A,,,,,,,,,,
361,Metropolitan Police,2018,Class A,,,,,,,,,,
362,Hampshire,2018,Class A,,,,,,,,,,
363,Kent 1,2018,Class A,,,,,,,,,,
364,Surrey,2018,Class A,,,,,,,,,,
365,Sussex,2018,Class A,,,,,,,,,,
366,Thames Valley,2018,Class A,,,,,,,,,,
367,Avon & Somerset,2018,Class A,,,,,,,,,,
368,Devon & Cornwall,2018,Class A,,,,,,,,,,
369,Dorset,2018,Class A,,,,,,,,,,
370,Gloucestershire,2018,Class A,,,,,,,,,,
371,Wiltshire,2018,Class A,,,,,,,,,,
372,Dyfed-Powys,2018,Class A,,,,,,,,,,
373,Gwent,2018,Class A,,,,,,,,,,
374,North Wales,2018,Class A,,,,,,,,,,
375,South Wales,2018,Class A,,,,,,,,,,
376,British Transport Police,2018,Class A,,,,,,,,,,
377,Total police,2018,Class A,,,,,,,,,,
378,"Border Force 4, 5, 6, 7",2018,Class A,,,,,,,,,,
379,TOTAL ENGLAND AND WALES 2,2018,Class A,,,,,,,,,,
380,,2019,Class A,,,,,,,,,,
381,Cleveland,2019,Class A,,,,,,,,,,
382,Durham,2019,Class A,,,,,,,,,,
383,Northumbria,2019,Class A,,,,,,,,,,
384,Cheshire,2019,Class A,,,,,,,,,,
385,Cumbria,2019,Class A,,,,,,,,,,
386,Greater Manchester,2019,Class A,,,,,,,,,,
387,Lancashire,2019,Class A,,,,,,,,,,
388,Merseyside,2019,Class A,,,,,,,,,,
389,Humberside,2019,Class A,,,,,,,,,,
390,North Yorkshire,2019,Class A,,,,,,,,,,
391,South Yorkshire,2019,Class A,,,,,,,,,,
392,West Yorkshire,2019,Class A,,,,,,,,,,
393,Derbyshire,2019,Class A,,,,,,,,,,
394,Leicestershire,2019,Class A,,,,,,,,,,
395,Lincolnshire 1,2019,Class A,,,,,,,,,,
396,Northamptonshire,2019,Class A,,,,,,,,,,
397,Nottinghamshire,2019,Class A,,,,,,,,,,
398,Staffordshire,2019,Class A,,,,,,,,,,
399,Warwickshire,2019,Class A,,,,,,,,,,
400,West Mercia,2019,Class A,,,,,,,,,,
401,West Midlands,2019,Class A,,,,,,,,,,
402,Bedfordshire,2019,Class A,,,,,,,,,,
403,Cambridgeshire,2019,Class A,,,,,,,,,,
404,Essex,2019,Class A,,,,,,,,,,
405,Hertfordshire 1,2019,Class A,,,,,,,,,,
406,Norfolk,2019,Class A,,,,,,,,,,
407,Suffolk,2019,Class A,,,,,,,,,,
408,"London, City of",2019,Class A,,,,,,,,,,
409,Metropolitan Police,2019,Class A,,,,,,,,,,
410,Hampshire,2019,Class A,,,,,,,,,,
411,Kent 1,2019,Class A,,,,,,,,,,
412,Surrey,2019,Class A,,,,,,,,,,
413,Sussex,2019,Class A,,,,,,,,,,
414,Thames Valley,2019,Class A,,,,,,,,,,
415,Avon & Somerset,2019,Class A,,,,,,,,,,
416,Devon & Cornwall,2019,Class A,,,,,,,,,,
417,Dorset,2019,Class A,,,,,,,,,,
418,Gloucestershire,2019,Class A,,,,,,,,,,
419,Wiltshire,2019,Class A,,,,,,,,,,
420,Dyfed-Powys,2019,Class A,,,,,,,,,,
421,Gwent,2019,Class A,,,,,,,,,,
422,North Wales,2019,Class A,,,,,,,,,,
423,South Wales,2019,Class A,,,,,,,,,,
424,British Transport Police,2019,Class A,,,,,,,,,,
425,Total police,2019,Class A,,,,,,,,,,
426,"Border Force 4, 5, 6, 7",2019,Class A,,,,,,,,,,
427,TOTAL ENGLAND AND WALES 2,2019,Class A,,,,,,,,,,
428,Cleveland,2020,Class A,664.0,,,,,,,,,
429,Durham,2020,Class A,255.0,,,,,,,,,
430,Northumbria,2020,Class A,1119.0,,,,,,,,,
431,Cheshire,2020,Class A,602.0,,,,,,,,,
432,Cumbria,2020,Class A,280.0,,,,,,,,,
433,Greater Manchester1,2020,Class A,1087.0,,,,,,,,,
434,Lancashire,2020,Class A,774.0,,,,,,,,,
435,Merseyside,2020,Class A,514.0,,,,,,,,,
436,Humberside,2020,Class A,212.0,,,,,,,,,
437,North Yorkshire,2020,Class A,224.0,,,,,,,,,
438,South Yorkshire,2020,Class A,967.0,,,,,,,,,
439,West Yorkshire,2020,Class A,1263.0,,,,,,,,,
440,Derbyshire,2020,Class A,824.0,,,,,,,,,
441,Leicestershire,2020,Class A,511.0,,,,,,,,,
442,Lincolnshire1,2020,Class A,119.0,,,,,,,,,
443,Northamptonshire,2020,Class A,484.0,,,,,,,,,
444,Nottinghamshire,2020,Class A,875.0,,,,,,,,,
445,Staffordshire,2020,Class A,651.0,,,,,,,,,
446,Warwickshire,2020,Class A,164.0,,,,,,,,,
447,West Mercia,2020,Class A,668.0,,,,,,,,,
